source_file,model,imagery,backbone,license_split,protocol,country,n_patches,pq,sq,rq,f1_5_95,poly_count_delta_mean,poly_count_delta_p50,bnd_err_mean_m,bnd_err_p95_m
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,rwanda,6,0.158654,0.730132,0.217295,0.111308,38.1667,10.0000,8.4897,20.9218
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,slovakia,369,0.591808,0.876735,0.675013,0.542515,2.1762,1.0000,11.4286,40.0286
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,spain,172,0.227840,0.724367,0.314537,0.156903,78.9709,63.0000,7.0740,19.4672
planet_b3_augmax_full_missing13.csv,PRUE-FTP-B3-augmax,planet,efficientnet-b3,full,full_data_13region,vietnam,21,0.162619,0.707701,0.229785,0.107154,311.2857,228.0000,4.7652,10.5817
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,belgium,198,0.357929,0.764372,0.468265,0.271020,13.8838,11.0000,12.1755,31.4352
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,cambodia,25,0.123044,0.611693,0.201153,0.055223,356.1200,310.0000,11.3070,18.0561
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,croatia,353,0.243962,0.693481,0.351793,0.154180,20.7139,10.0000,15.0207,32.6278
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,germany,350,0.340241,0.838431,0.405807,0.294953,6.8800,3.0000,25.2157,103.1169
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,kenya,55,0.003113,0.651126,0.004781,0.001729,95.5273,79.0000,9.9190,19.4329
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,latvia,741,0.363335,0.809059,0.449083,0.300419,5.0378,3.0000,20.3607,66.4580
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,lithuania,528,0.275681,0.779638,0.353601,0.215628,8.1799,4.0000,19.7917,65.8284
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,portugal,10,0.000000,0.000000,0.000000,0.000000,109.7000,74.5000,nan,nan
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,slovenia,228,0.162669,0.711172,0.228733,0.108446,34.1579,22.5000,11.8284,28.0349
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,south_africa,85,0.440872,0.818978,0.538319,0.371048,5.9412,4.0000,21.9820,71.9815
s2_b3_augmax_full.csv,S2-B3-augmax,s2,efficientnet-b3,full,heldout_11country,sweden,516,0.398181,0.810714,0.491148,0.329848,6.2054,4.0000,19.8533,64.2903
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,belgium,198,0.318391,0.760150,0.418853,0.239285,14.0354,12.0000,13.1519,33.3726
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,cambodia,25,0.118944,0.617062,0.192759,0.054984,378.8000,334.0000,11.4318,18.7181
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,croatia,353,0.233366,0.697746,0.334457,0.149629,20.3371,11.0000,14.7825,33.4776
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,germany,350,0.368768,0.840251,0.438879,0.321181,6.3286,2.0000,22.5014,79.3488
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,kenya,55,0.002213,0.622629,0.003554,0.001039,129.6182,137.0000,10.8113,18.1762
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,latvia,741,0.359943,0.807684,0.445648,0.296559,5.1215,3.0000,20.9983,68.6809
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,lithuania,528,0.260742,0.778128,0.335089,0.202931,8.2727,4.0000,19.7122,65.9067
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,portugal,10,0.000000,0.000000,0.000000,0.000000,110.3000,68.0000,nan,nan
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,slovenia,228,0.154106,0.699715,0.220241,0.099382,29.8421,17.0000,12.0635,28.3790
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,south_africa,85,0.394031,0.811813,0.485371,0.327382,6.8471,5.0000,23.2545,75.8617
s2_b3_augmax_ccby.csv,S2-B3-augmax,s2,efficientnet-b3,ccby,heldout_11country,sweden,516,0.368603,0.810187,0.454961,0.305459,7.7500,6.0000,21.3585,63.9991
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,belgium,198,0.430690,0.777933,0.553634,0.335815,11.1919,9.0000,11.3393,30.9753
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,cambodia,25,0.164082,0.629714,0.260565,0.080856,350.5600,324.0000,10.6913,17.8259
s2_b7_augmax_full.csv,S2-B7-augmax,s2,efficientnet-b7,full,heldout_11country,croatia,353,0.291513,0.729099,0.399826,0.203712,21.1926,11.0000,12.3692,31.4574
